,source,words,tokens,per_million
1 ,     SPOK:ABC ,20080884 ,14 ,0.7
2 ,     SPOK:NBC ,10534065 ,15 ,1.42
3 ,     SPOK:CBS ,17627362 ,16 ,0.91
4 ,     SPOK:CNN ,26344072 ,14 ,0.53
5 ,     SPOK:FOX ,12156136 ,4 ,0.33
6 ,     SPOK:MSNBC ,824952 ,0 ,0
7 ,     SPOK:PBS ,11316824 ,7 ,0.62
8 ,     SPOK:NPR ,22735899 ,47 ,2.07
9 ,     SPOK:Indep ,4515382 ,33 ,7.31
10 ,     FIC:Gen (Book) ,33427511 ,157 ,4.7
11 ,     FIC:Gen (Jrnl) ,44794360 ,298 ,6.65
12 ,     FIC:SciFi/Fant ,26153147 ,88 ,3.36
13 ,     FIC:Juvenile ,3234890 ,6 ,1.85
14 ,     FIC:Movies ,9174713 ,35 ,3.81
15 ,     FIC:Fan Fiction ,1538477 ,10 ,6.5
16 ,     MAG:News/Opin ,27676740 ,267 ,9.65
17 ,     MAG:Financial ,7181822 ,1 ,0.14
18 ,     MAG:Sci/Tech ,18619590 ,49 ,2.63
19 ,     MAG:Soc/Arts ,9323596 ,18 ,1.93
20 ,     MAG:Religion ,5553662 ,10 ,1.8
21 ,     MAG:Sports ,14121357 ,6 ,0.42
22 ,     MAG:Entertain ,7717831 ,125 ,16.2
23 ,     MAG:Home/Health ,20698049 ,16 ,0.77
24 ,     MAG:Afric-Amer ,4264528 ,7 ,1.64
25 ,     MAG:Children ,2420536 ,10 ,4.13
26 ,     MAG:Women/Men ,8513122 ,55 ,6.46
27 ,     NEWS:Misc ,31741733 ,61 ,1.92
28 ,     NEWS:News_Intl ,6323096 ,4 ,0.63
29 ,     NEWS:News_Natl ,11524314 ,17 ,1.48
30 ,     NEWS:News_Local ,13824312 ,25 ,1.81
31 ,     NEWS:Money ,8725626 ,5 ,0.57
32 ,     NEWS:Life ,20255519 ,97 ,4.79
33 ,     NEWS:Sports ,19154024 ,7 ,0.37
34 ,     NEWS:Editorial ,4797501 ,49 ,10.21
35 ,     ACAD:History ,13395427 ,32 ,2.39
36 ,     ACAD:Education ,15774869 ,30 ,1.9
37 ,     ACAD:Geog/SocSci ,20028471 ,171 ,8.54
38 ,     ACAD:Law/PolSci ,12285693 ,7 ,0.57
39 ,     ACAD:Humanities ,16203015 ,957 ,59.06
40 ,     ACAD:Phil/Rel ,7841453 ,15 ,1.91
41 ,     ACAD:Sci/Tech ,17454120 ,5 ,0.29
42 ,     ACAD:Medicine ,10809528 ,5 ,0.46
43 ,     ACAD:Misc ,4817686 ,93 ,19.3
44 ,     ACAD:Business ,1180194 ,0 ,0
45 ,     Web:Acad ,2858820 ,0 ,0
46 ,     Web:Arg ,54970418 ,339 ,6.17
47 ,     Web:Fic ,10942682 ,118 ,10.78
48 ,     Web:Info ,3010107 ,5 ,1.66
49 ,     Web:Instr ,7546324 ,1 ,0.13
50 ,     Web:Legal ,3683079 ,1 ,0.27
51 ,     Web:News ,13368083 ,22 ,1.65
52 ,     Web:Pers ,5580339 ,23 ,4.12
53 ,     Web:Revw ,10469952 ,64 ,6.11
54 ,     Web:Misc ,16183490 ,39 ,2.41
55 ,     Blog:Acad ,504423 ,0 ,0
56 ,     Blog:Arg ,68736491 ,676 ,9.83
57 ,     Blog:Fic ,2200365 ,13 ,5.91
58 ,     Blog:Info ,547695 ,1 ,1.83
59 ,     Blog:Instr ,2462170 ,2 ,0.81
60 ,     Blog:Legal ,423009 ,0 ,0
61 ,     Blog:News ,5551743 ,5 ,0.9
62 ,     Blog:Pers ,2932793 ,12 ,4.09
63 ,     Blog:Prom ,2702404 ,2 ,0.74
64 ,     Blog:Revw ,5257498 ,64 ,12.17
65 ,     Blog:Misc ,32935088 ,152 ,4.62
66 ,     Mov:Action ,9211094 ,29 ,3.15
67 ,     Mov:Adult ,239710 ,0 ,0
68 ,     Mov:Adv ,2419506 ,12 ,4.96
69 ,     Mov:Anim ,2251410 ,2 ,0.89
70 ,     Mov:Biog ,2331041 ,36 ,15.44
71 ,     Mov:Comedy ,18401756 ,136 ,7.39
72 ,     Mov:Crime ,3848386 ,31 ,8.06
73 ,     Mov:Docum ,6893034 ,49 ,7.11
74 ,     Mov:Drama ,11598040 ,75 ,6.47
75 ,     Mov:Fam ,346927 ,0 ,0
76 ,     Mov:Fantasy ,402539 ,1 ,2.48
77 ,     Mov:Horror ,3251794 ,10 ,3.08
78 ,     Mov:Music ,213675 ,0 ,0
79 ,     Mov:Myst ,361075 ,0 ,0
80 ,     Mov:Romance ,242353 ,2 ,8.25
81 ,     Mov:Sci-Fi ,196561 ,0 ,0
82 ,     Mov:Short ,251289 ,0 ,0
83 ,     Mov:Thril ,389952 ,3 ,7.69
84 ,     Mov:N/A ,747889 ,0 ,0
85 ,     TV:Action ,12456602 ,9 ,0.72
86 ,     TV:Adv ,2801769 ,7 ,2.5
87 ,     TV:Anim ,4689630 ,26 ,5.54
88 ,     TV:Comedy ,19072679 ,85 ,4.46
89 ,     TV:Crime ,9412310 ,37 ,3.93
90 ,     TV:Docum ,1379512 ,5 ,3.62
91 ,     TV:Drama ,12960939 ,73 ,5.63
92 ,     TV:Game ,675684 ,0 ,0
93 ,     TV:Horror ,119094 ,1 ,8.4
94 ,     TV:Reality ,358689 ,0 ,0
95 ,     TV:Sci-Fi ,90194 ,0 ,0
96 ,     TV:Misc ,253323 ,1 ,3.95
